path,module,type,min,max,default,choices
learning.advAttackRounds,learning,int,1,10,3,
learning.advBenchLimit,learning,int,10,100,50,
learning.advDefenseRounds,learning,int,1,10,3,
learning.advMaxAdversaries,learning,int,8,128,64,
learning.advNoiseLevel,learning,float,0.05,0.5,0.2,
learning.gnnGaGenerations,learning,int,1,10,1,
learning.gnnGaMaxDocs,learning,int,8,64,32,
learning.gnnGaPopulation,learning,int,4,32,6,
learning.rlCoverageWeight,learning,float,0.0,1.0,0.7,
learning.rlImprovementThreshold,learning,float,0.001,0.1,0.01,
learning.rlMaxDocs,learning,int,8,128,64,
learning.rlTopKWords,learning,int,10,100,30,
learning.rlUniquenessWeight,learning,float,0.0,1.0,0.3,
